date,parlay_class,n_legs_bucket,sportmix,contracts,unmapped_flag
2025-12-31,multi-game (independent),8+,all-sports,2175201,0
2025-12-31,same-game (correlated),2,all-sports,589745,0
2025-12-31,same-game (correlated),3,all-sports,446568,0
2025-12-31,same-game (correlated),4,all-sports,531067,0
2025-12-31,same-game (correlated),5-7,all-sports,1692276,0
2025-12-31,same-game (correlated),8+,all-sports,2954478,0
2025-12-31,unclassified (pending legs),unknown,unknown,3770751,1
2026-01-01,multi-game (independent),2,all-sports,823934,0
2026-01-01,multi-game (independent),3,all-sports,601517,0
2026-01-01,multi-game (independent),4,all-sports,639368,0
2026-01-01,multi-game (independent),5-7,all-sports,1070229,0
2026-01-01,multi-game (independent),8+,all-sports,916673,0
2026-01-01,same-game (correlated),2,all-sports,650833,0
2026-01-01,same-game (correlated),3,all-sports,517223,0
2026-01-01,same-game (correlated),4,all-sports,743569,0
2026-01-01,same-game (correlated),5-7,all-sports,1594775,0
2026-01-01,same-game (correlated),8+,all-sports,2425696,0
2026-01-01,unclassified (pending legs),unknown,unknown,8965794,1
2026-01-02,multi-game (independent),2,all-sports,1223435,0
2026-01-02,multi-game (independent),3,all-sports,898639,0
2026-01-02,multi-game (independent),4,all-sports,1038984,0
2026-01-02,multi-game (independent),5-7,all-sports,2369834,0
2026-01-02,multi-game (independent),8+,all-sports,2696188,0
2026-01-02,same-game (correlated),2,all-sports,1175585,0
2026-01-02,same-game (correlated),3,all-sports,738544,0
2026-01-02,same-game (correlated),4,all-sports,931375,0
2026-01-02,same-game (correlated),5-7,all-sports,2290577,0
2026-01-02,same-game (correlated),8+,all-sports,4267542,0
2026-01-02,unclassified (pending legs),unknown,unknown,545631,1
2026-01-03,multi-game (independent),2,all-sports,2552507,0
2026-01-03,multi-game (independent),3,all-sports,1053374,0
2026-01-03,multi-game (independent),4,all-sports,1166742,0
2026-01-03,multi-game (independent),5-7,all-sports,2741863,0
2026-01-03,multi-game (independent),8+,all-sports,3569304,0
2026-01-03,same-game (correlated),2,all-sports,3463218,0
2026-01-03,same-game (correlated),3,all-sports,4128095,0
2026-01-03,same-game (correlated),4,all-sports,4848809,0
2026-01-03,same-game (correlated),5-7,all-sports,8410270,0
2026-01-03,same-game (correlated),8+,all-sports,8588249,0
2026-01-03,unclassified (pending legs),unknown,unknown,4198230,1
2026-01-04,multi-game (independent),2,all-sports,2652371,0
2026-01-04,multi-game (independent),3,all-sports,3732339,0
2026-01-04,multi-game (independent),4,all-sports,4069588,0
2026-01-04,multi-game (independent),5-7,all-sports,6548066,0
2026-01-04,multi-game (independent),8+,all-sports,5475134,0
2026-01-04,same-game (correlated),2,all-sports,4769951,0
2026-01-04,same-game (correlated),3,all-sports,4131432,0
2026-01-04,same-game (correlated),4,all-sports,4147222,0
2026-01-04,same-game (correlated),5-7,all-sports,8284278,0
2026-01-04,same-game (correlated),8+,all-sports,9576800,0
2026-01-04,unclassified (pending legs),unknown,unknown,6553292,1
2026-01-05,multi-game (independent),2,all-sports,968458,0
2026-01-05,multi-game (independent),3,all-sports,1092690,0
2026-01-05,multi-game (independent),4,all-sports,895597,0
2026-01-05,multi-game (independent),5-7,all-sports,1483779,0
2026-01-05,multi-game (independent),8+,all-sports,760395,0
2026-01-05,same-game (correlated),2,all-sports,985471,0
2026-01-05,same-game (correlated),3,all-sports,477262,0
2026-01-05,same-game (correlated),4,all-sports,580571,0
2026-01-05,same-game (correlated),5-7,all-sports,2034362,0
2026-01-05,same-game (correlated),8+,all-sports,3553140,0
2026-01-05,unclassified (pending legs),unknown,unknown,302056,1
2026-01-06,multi-game (independent),2,all-sports,746888,0
2026-01-06,multi-game (independent),3,all-sports,601045,0
2026-01-06,multi-game (independent),4,all-sports,583872,0
2026-01-06,multi-game (independent),5-7,all-sports,2278699,0
2026-01-06,multi-game (independent),8+,all-sports,88558,0
2026-01-06,same-game (correlated),2,all-sports,887791,0
2026-01-06,same-game (correlated),3,all-sports,477466,0
2026-01-06,same-game (correlated),4,all-sports,680767,0
2026-01-06,same-game (correlated),5-7,all-sports,1783277,0
2026-01-06,same-game (correlated),8+,all-sports,3611628,0
2026-01-06,unclassified (pending legs),unknown,unknown,551054,1
2026-01-07,multi-game (independent),2,all-sports,1122235,0
2026-01-07,multi-game (independent),3,all-sports,1353162,0
2026-01-07,multi-game (independent),4,all-sports,1464167,0
2026-01-07,multi-game (independent),5-7,all-sports,2906259,0
2026-01-07,multi-game (independent),8+,all-sports,1596269,0
2026-01-07,same-game (correlated),2,all-sports,1124133,0
2026-01-07,same-game (correlated),3,all-sports,591658,0
2026-01-07,same-game (correlated),4,all-sports,751975,0
2026-01-07,same-game (correlated),5-7,all-sports,2496801,0
2026-01-07,same-game (correlated),8+,all-sports,4737421,0
2026-01-07,unclassified (pending legs),unknown,unknown,620913,1
2026-01-08,multi-game (independent),2,all-sports,502705,0
2026-01-08,multi-game (independent),3,all-sports,491430,0
2026-01-08,multi-game (independent),4,all-sports,1097370,0
2026-01-08,multi-game (independent),5-7,all-sports,1821417,0
2026-01-08,multi-game (independent),8+,all-sports,281243,0
2026-01-08,same-game (correlated),2,all-sports,528175,0
2026-01-08,same-game (correlated),3,all-sports,428305,0
2026-01-08,same-game (correlated),4,all-sports,719654,0
2026-01-08,same-game (correlated),5-7,all-sports,2003556,0
2026-01-08,same-game (correlated),8+,all-sports,3536155,0
2026-01-08,unclassified (pending legs),unknown,unknown,6039919,1
2026-01-09,multi-game (independent),2,all-sports,1088640,0
2026-01-09,multi-game (independent),3,all-sports,1198920,0
2026-01-09,multi-game (independent),4,all-sports,1071540,0
2026-01-09,multi-game (independent),5-7,all-sports,3675328,0
2026-01-09,multi-game (independent),8+,all-sports,1824117,0
2026-01-09,same-game (correlated),2,all-sports,1106332,0
2026-01-09,same-game (correlated),3,all-sports,1036397,0
2026-01-09,same-game (correlated),4,all-sports,1077556,0
2026-01-09,same-game (correlated),5-7,all-sports,3720443,0
2026-01-09,same-game (correlated),8+,all-sports,7888140,0
2026-01-09,unclassified (pending legs),unknown,unknown,5716451,1
2026-01-10,multi-game (independent),2,all-sports,2149963,0
2026-01-10,multi-game (independent),3,all-sports,1391932,0
2026-01-10,multi-game (independent),4,all-sports,1443033,0
2026-01-10,multi-game (independent),5-7,all-sports,7181105,0
2026-01-10,multi-game (independent),8+,all-sports,427034,0
2026-01-10,same-game (correlated),2,all-sports,7460906,0
2026-01-10,same-game (correlated),3,all-sports,4856780,0
2026-01-10,same-game (correlated),4,all-sports,5451962,0
2026-01-10,same-game (correlated),5-7,all-sports,11887754,0
2026-01-10,same-game (correlated),8+,all-sports,14576374,0
2026-01-10,unclassified (pending legs),unknown,unknown,7841849,1
2026-01-11,multi-game (independent),2,all-sports,2320726,0
2026-01-11,multi-game (independent),3,all-sports,3558492,0
2026-01-11,multi-game (independent),4,all-sports,2129324,0
2026-01-11,multi-game (independent),5-7,all-sports,933527,0
2026-01-11,multi-game (independent),8+,all-sports,1159400,0
2026-01-11,same-game (correlated),2,all-sports,13282855,0
2026-01-11,same-game (correlated),3,all-sports,9041895,0
2026-01-11,same-game (correlated),4,all-sports,9486688,0
2026-01-11,same-game (correlated),5-7,all-sports,20560008,0
2026-01-11,same-game (correlated),8+,all-sports,20326359,0
2026-01-11,unclassified (pending legs),unknown,unknown,11387268,1
2026-01-12,multi-game (independent),2,all-sports,1441515,0
2026-01-12,multi-game (independent),3,all-sports,979125,0
2026-01-12,multi-game (independent),4,all-sports,902381,0
2026-01-12,multi-game (independent),5-7,all-sports,1176475,0
2026-01-12,multi-game (independent),8+,all-sports,170989,0
2026-01-12,same-game (correlated),2,all-sports,10340699,0
2026-01-12,same-game (correlated),3,all-sports,8430834,0
2026-01-12,same-game (correlated),4,all-sports,6939293,0
2026-01-12,same-game (correlated),5-7,all-sports,11913079,0
2026-01-12,same-game (correlated),8+,all-sports,9913996,0
2026-01-12,unclassified (pending legs),unknown,unknown,3658367,1
2026-01-13,multi-game (independent),2,all-sports,1394695,0
2026-01-13,multi-game (independent),3,all-sports,1500685,0
2026-01-13,multi-game (independent),4,all-sports,2551754,0
2026-01-13,multi-game (independent),5-7,all-sports,2805314,0
2026-01-13,multi-game (independent),8+,all-sports,161605,0
2026-01-13,same-game (correlated),2,all-sports,2117884,0
2026-01-13,same-game (correlated),3,all-sports,1822001,0
2026-01-13,same-game (correlated),4,all-sports,2095392,0
2026-01-13,same-game (correlated),5-7,all-sports,4472164,0
2026-01-13,same-game (correlated),8+,all-sports,7776458,0
2026-01-13,unclassified (pending legs),unknown,unknown,376745,1
2026-01-14,multi-game (independent),2,all-sports,1446461,0
2026-01-14,multi-game (independent),3,all-sports,1279230,0
2026-01-14,multi-game (independent),4,all-sports,1966795,0
2026-01-14,multi-game (independent),5-7,all-sports,2415345,0
2026-01-14,multi-game (independent),8+,all-sports,897736,0
2026-01-14,same-game (correlated),2,all-sports,1523322,0
2026-01-14,same-game (correlated),3,all-sports,1055053,0
2026-01-14,same-game (correlated),4,all-sports,1339070,0
2026-01-14,same-game (correlated),5-7,all-sports,4145832,0
2026-01-14,same-game (correlated),8+,all-sports,8647977,0
2026-01-14,unclassified (pending legs),unknown,unknown,1257532,1
2026-01-15,multi-game (independent),2,all-sports,1612523,0
2026-01-15,multi-game (independent),3,all-sports,1948267,0
2026-01-15,multi-game (independent),4,all-sports,2800440,0
2026-01-15,multi-game (independent),5-7,all-sports,2234925,0
2026-01-15,multi-game (independent),8+,all-sports,1386559,0
2026-01-15,same-game (correlated),2,all-sports,1844232,0
2026-01-15,same-game (correlated),3,all-sports,1283183,0
2026-01-15,same-game (correlated),4,all-sports,1476196,0
2026-01-15,same-game (correlated),5-7,all-sports,4745665,0
2026-01-15,same-game (correlated),8+,all-sports,10281689,0
2026-01-15,unclassified (pending legs),unknown,unknown,861383,1
2026-01-16,multi-game (independent),2,all-sports,1755569,0
2026-01-16,multi-game (independent),3,all-sports,1420499,0
2026-01-16,multi-game (independent),4,all-sports,3397021,0
2026-01-16,multi-game (independent),5-7,all-sports,2404331,0
2026-01-16,multi-game (independent),8+,all-sports,308870,0
2026-01-16,same-game (correlated),2,all-sports,1786300,0
2026-01-16,same-game (correlated),3,all-sports,1797453,0
2026-01-16,same-game (correlated),4,all-sports,1940447,0
2026-01-16,same-game (correlated),5-7,all-sports,5754245,0
2026-01-16,same-game (correlated),8+,all-sports,10819430,0
2026-01-16,unclassified (pending legs),unknown,unknown,1648022,1
2026-01-17,multi-game (independent),2,all-sports,4692682,0
2026-01-17,multi-game (independent),3,all-sports,2474188,0
2026-01-17,multi-game (independent),4,all-sports,5972318,0
2026-01-17,multi-game (independent),5-7,all-sports,2100613,0
2026-01-17,multi-game (independent),8+,all-sports,2175551,0
2026-01-17,same-game (correlated),2,all-sports,11933582,0
2026-01-17,same-game (correlated),3,all-sports,9642305,0
2026-01-17,same-game (correlated),4,all-sports,10408586,0
2026-01-17,same-game (correlated),5-7,all-sports,21027367,0
2026-01-17,same-game (correlated),8+,all-sports,28273974,0
2026-01-17,unclassified (pending legs),unknown,unknown,9138390,1
2026-01-18,multi-game (independent),2,all-sports,3341105,0
2026-01-18,multi-game (independent),3,all-sports,770996,0
2026-01-18,multi-game (independent),4,all-sports,588397,0
2026-01-18,multi-game (independent),5-7,all-sports,1525112,0
2026-01-18,multi-game (independent),8+,all-sports,274343,0
2026-01-18,same-game (correlated),2,all-sports,15099303,0
2026-01-18,same-game (correlated),3,all-sports,11314769,0
2026-01-18,same-game (correlated),4,all-sports,12609121,0
2026-01-18,same-game (correlated),5-7,all-sports,21915119,0
2026-01-18,same-game (correlated),8+,all-sports,25750812,0
2026-01-18,unclassified (pending legs),unknown,unknown,8075893,1
2026-01-19,multi-game (independent),2,all-sports,1567039,0
2026-01-19,multi-game (independent),3,all-sports,1139297,0
2026-01-19,multi-game (independent),4,all-sports,936733,0
2026-01-19,multi-game (independent),5-7,all-sports,1563614,0
2026-01-19,multi-game (independent),8+,all-sports,1005679,0
2026-01-19,same-game (correlated),2,all-sports,2848445,0
2026-01-19,same-game (correlated),3,all-sports,1271515,0
2026-01-19,same-game (correlated),4,all-sports,1399389,0
2026-01-19,same-game (correlated),5-7,all-sports,3691946,0
2026-01-19,same-game (correlated),8+,all-sports,6960076,0
2026-01-19,unclassified (pending legs),unknown,unknown,12250988,1
2026-01-20,multi-game (independent),2,all-sports,1359643,0
2026-01-20,multi-game (independent),3,all-sports,1238152,0
2026-01-20,multi-game (independent),4,all-sports,1211645,0
2026-01-20,multi-game (independent),5-7,all-sports,4097382,0
2026-01-20,multi-game (independent),8+,all-sports,1718716,0
2026-01-20,same-game (correlated),2,all-sports,1824586,0
2026-01-20,same-game (correlated),3,all-sports,1336158,0
2026-01-20,same-game (correlated),4,all-sports,1573430,0
2026-01-20,same-game (correlated),5-7,all-sports,3283663,0
2026-01-20,same-game (correlated),8+,all-sports,8460669,0
2026-01-20,unclassified (pending legs),unknown,unknown,47852,1
2026-01-21,multi-game (independent),2,all-sports,1585741,0
2026-01-21,multi-game (independent),3,all-sports,1501084,0
2026-01-21,multi-game (independent),4,all-sports,1239174,0
2026-01-21,multi-game (independent),5-7,all-sports,3145443,0
2026-01-21,multi-game (independent),8+,all-sports,3620359,0
2026-01-21,same-game (correlated),2,all-sports,2057495,0
2026-01-21,same-game (correlated),3,all-sports,1398217,0
2026-01-21,same-game (correlated),4,all-sports,1602975,0
2026-01-21,same-game (correlated),5-7,all-sports,3682719,0
2026-01-21,same-game (correlated),8+,all-sports,8374471,0
2026-01-21,unclassified (pending legs),unknown,unknown,89927,1
2026-01-22,multi-game (independent),2,all-sports,1819639,0
2026-01-22,multi-game (independent),3,all-sports,2215652,0
2026-01-22,multi-game (independent),4,all-sports,1366210,0
2026-01-22,multi-game (independent),5-7,all-sports,2837303,0
2026-01-22,multi-game (independent),8+,all-sports,4670288,0
2026-01-22,same-game (correlated),2,all-sports,2084116,0
2026-01-22,same-game (correlated),3,all-sports,1492154,0
2026-01-22,same-game (correlated),4,all-sports,1739983,0
2026-01-22,same-game (correlated),5-7,all-sports,3889609,0
2026-01-22,same-game (correlated),8+,all-sports,9212988,0
2026-01-22,unclassified (pending legs),unknown,unknown,677586,1
2026-01-23,multi-game (independent),2,all-sports,2484410,0
2026-01-23,multi-game (independent),3,all-sports,2054114,0
2026-01-23,multi-game (independent),4,all-sports,1743105,0
2026-01-23,multi-game (independent),5-7,all-sports,3110093,0
2026-01-23,multi-game (independent),8+,all-sports,3646072,0
2026-01-23,same-game (correlated),2,all-sports,2506070,0
2026-01-23,same-game (correlated),3,all-sports,1694053,0
2026-01-23,same-game (correlated),4,all-sports,3089981,0
2026-01-23,same-game (correlated),5-7,all-sports,4917435,0
2026-01-23,same-game (correlated),8+,all-sports,10957227,0
2026-01-23,unclassified (pending legs),unknown,unknown,765668,1
2026-01-24,multi-game (independent),2,all-sports,4238177,0
2026-01-24,multi-game (independent),3,all-sports,3453436,0
2026-01-24,multi-game (independent),4,all-sports,3190730,0
2026-01-24,multi-game (independent),5-7,all-sports,5956070,0
2026-01-24,multi-game (independent),8+,all-sports,5612488,0
2026-01-24,same-game (correlated),2,all-sports,2532177,0
2026-01-24,same-game (correlated),3,all-sports,3048907,0
2026-01-24,same-game (correlated),4,all-sports,3705330,0
2026-01-24,same-game (correlated),5-7,all-sports,8579685,0
2026-01-24,same-game (correlated),8+,all-sports,14087704,0
2026-01-24,unclassified (pending legs),unknown,unknown,1224849,1
2026-01-25,multi-game (independent),2,all-sports,4334269,0
2026-01-25,multi-game (independent),3,all-sports,1198102,0
2026-01-25,multi-game (independent),4,all-sports,1014503,0
2026-01-25,multi-game (independent),5-7,all-sports,1627958,0
2026-01-25,multi-game (independent),8+,all-sports,1133142,0
2026-01-25,same-game (correlated),2,all-sports,21610357,0
2026-01-25,same-game (correlated),3,all-sports,15107465,0
2026-01-25,same-game (correlated),4,all-sports,15718396,0
2026-01-25,same-game (correlated),5-7,all-sports,28736826,0
2026-01-25,same-game (correlated),8+,all-sports,33592421,0
2026-01-25,unclassified (pending legs),unknown,unknown,11070521,1
2026-01-26,multi-game (independent),2,all-sports,2910749,0
2026-01-26,multi-game (independent),3,all-sports,1799298,0
2026-01-26,multi-game (independent),4,all-sports,1367685,0
2026-01-26,multi-game (independent),5-7,all-sports,3147455,0
2026-01-26,multi-game (independent),8+,all-sports,1434803,0
2026-01-26,same-game (correlated),2,all-sports,2352039,0
2026-01-26,same-game (correlated),3,all-sports,1818883,0
2026-01-26,same-game (correlated),4,all-sports,2276484,0
2026-01-26,same-game (correlated),5-7,all-sports,6179283,0
2026-01-26,same-game (correlated),8+,all-sports,12212280,0
2026-01-26,unclassified (pending legs),unknown,unknown,164125,1
2026-01-27,multi-game (independent),2,all-sports,2231574,0
2026-01-27,multi-game (independent),3,all-sports,2528034,0
2026-01-27,multi-game (independent),4,all-sports,1938425,0
2026-01-27,multi-game (independent),5-7,all-sports,4271855,0
2026-01-27,multi-game (independent),8+,all-sports,5062811,0
2026-01-27,same-game (correlated),2,all-sports,1440137,0
2026-01-27,same-game (correlated),3,all-sports,1054420,0
2026-01-27,same-game (correlated),4,all-sports,1650197,0
2026-01-27,same-game (correlated),5-7,all-sports,4002611,0
2026-01-27,same-game (correlated),8+,all-sports,10567558,0
2026-01-27,unclassified (pending legs),unknown,unknown,277140,1
2026-01-28,multi-game (independent),2,all-sports,2848391,0
2026-01-28,multi-game (independent),3,all-sports,2458825,0
2026-01-28,multi-game (independent),4,all-sports,2174984,0
2026-01-28,multi-game (independent),5-7,all-sports,4632922,0
2026-01-28,multi-game (independent),8+,all-sports,9444936,0
2026-01-28,same-game (correlated),2,all-sports,1314281,0
2026-01-28,same-game (correlated),3,all-sports,1315564,0
2026-01-28,same-game (correlated),4,all-sports,1487413,0
2026-01-28,same-game (correlated),5-7,all-sports,3931015,0
2026-01-28,same-game (correlated),8+,all-sports,11298227,0
2026-01-28,unclassified (pending legs),unknown,unknown,264647,1
2026-01-29,multi-game (independent),2,all-sports,3162351,0
2026-01-29,multi-game (independent),3,all-sports,2140135,0
2026-01-29,multi-game (independent),4,all-sports,1974281,0
2026-01-29,multi-game (independent),5-7,all-sports,3907238,0
2026-01-29,multi-game (independent),8+,all-sports,7800837,0
2026-01-29,same-game (correlated),2,all-nonsports,607,0
2026-01-29,same-game (correlated),2,all-sports,1406742,0
2026-01-29,same-game (correlated),3,all-nonsports,6247,0
2026-01-29,same-game (correlated),3,all-sports,886980,0
2026-01-29,same-game (correlated),4,all-nonsports,60,0
2026-01-29,same-game (correlated),4,all-sports,1453752,0
2026-01-29,same-game (correlated),5-7,all-sports,3232064,0
2026-01-29,same-game (correlated),8+,all-sports,8501802,0
2026-01-29,unclassified (pending legs),unknown,unknown,127762,1
2026-01-30,multi-game (independent),2,all-sports,2246151,0
2026-01-30,multi-game (independent),3,all-sports,2323520,0
2026-01-30,multi-game (independent),4,all-sports,1930051,0
2026-01-30,multi-game (independent),5-7,all-sports,4085736,0
2026-01-30,multi-game (independent),8+,all-sports,6905662,0
2026-01-30,same-game (correlated),2,all-nonsports,67984,0
2026-01-30,same-game (correlated),2,all-sports,1429133,0
2026-01-30,same-game (correlated),3,all-nonsports,103909,0
2026-01-30,same-game (correlated),3,all-sports,1194180,0
2026-01-30,same-game (correlated),4,all-nonsports,29460,0
2026-01-30,same-game (correlated),4,all-sports,1227358,0
2026-01-30,same-game (correlated),5-7,all-nonsports,18144,0
2026-01-30,same-game (correlated),5-7,all-sports,2963940,0
2026-01-30,same-game (correlated),8+,all-nonsports,12325,0
2026-01-30,same-game (correlated),8+,all-sports,9312549,0
2026-01-30,unclassified (pending legs),unknown,unknown,148480,1
2026-01-31,multi-game (independent),2,all-sports,3646941,0
2026-01-31,multi-game (independent),3,all-sports,4032995,0
2026-01-31,multi-game (independent),4,all-sports,3202851,0
2026-01-31,multi-game (independent),5-7,all-sports,6334218,0
2026-01-31,multi-game (independent),8+,all-sports,7495697,0
2026-01-31,same-game (correlated),2,all-nonsports,1913,0
2026-01-31,same-game (correlated),2,all-sports,1452905,0
2026-01-31,same-game (correlated),3,all-nonsports,1152,0
2026-01-31,same-game (correlated),3,all-sports,1045786,0
2026-01-31,same-game (correlated),4,all-nonsports,418,0
2026-01-31,same-game (correlated),4,all-sports,1471810,0
2026-01-31,same-game (correlated),5-7,all-nonsports,711,0
2026-01-31,same-game (correlated),5-7,all-sports,3167761,0
2026-01-31,same-game (correlated),8+,all-nonsports,245,0
2026-01-31,same-game (correlated),8+,all-sports,8910269,0
2026-01-31,unclassified (pending legs),unknown,unknown,153775,1
2026-02-01,multi-game (independent),2,all-sports,3269436,0
2026-02-01,multi-game (independent),3,all-sports,2878045,0
2026-02-01,multi-game (independent),4,all-sports,2605937,0
2026-02-01,multi-game (independent),5-7,all-sports,4000329,0
2026-02-01,multi-game (independent),8+,all-sports,6049153,0
2026-02-01,same-game (correlated),2,all-nonsports,32152,0
2026-02-01,same-game (correlated),2,all-sports,1728842,0
2026-02-01,same-game (correlated),3,all-nonsports,15126,0
2026-02-01,same-game (correlated),3,all-sports,1204427,0
2026-02-01,same-game (correlated),4,all-nonsports,12796,0
2026-02-01,same-game (correlated),4,all-sports,1679910,0
2026-02-01,same-game (correlated),5-7,all-nonsports,18013,0
2026-02-01,same-game (correlated),5-7,all-sports,3858577,0
2026-02-01,same-game (correlated),8+,all-nonsports,9663,0
2026-02-01,same-game (correlated),8+,all-sports,10187305,0
2026-02-01,unclassified (pending legs),unknown,unknown,215203,1
2026-02-02,multi-game (independent),2,all-sports,2249697,0
2026-02-02,multi-game (independent),3,all-sports,1633071,0
2026-02-02,multi-game (independent),4,all-sports,1646748,0
2026-02-02,multi-game (independent),5-7,all-sports,2265626,0
2026-02-02,multi-game (independent),8+,all-sports,4638294,0
2026-02-02,same-game (correlated),2,all-nonsports,339,0
2026-02-02,same-game (correlated),2,all-sports,1430492,0
2026-02-02,same-game (correlated),3,all-nonsports,23,0
2026-02-02,same-game (correlated),3,all-sports,971579,0
2026-02-02,same-game (correlated),4,all-sports,1514334,0
2026-02-02,same-game (correlated),5-7,all-sports,2691166,0
2026-02-02,same-game (correlated),8+,all-sports,6253940,0
2026-02-02,unclassified (pending legs),unknown,unknown,225284,1
2026-02-03,multi-game (independent),2,all-sports,2498469,0
2026-02-03,multi-game (independent),3,all-sports,2026665,0
2026-02-03,multi-game (independent),4,all-sports,2146478,0
2026-02-03,multi-game (independent),5-7,all-sports,4147303,0
2026-02-03,multi-game (independent),8+,all-sports,7644068,0
2026-02-03,same-game (correlated),2,all-sports,2083969,0
2026-02-03,same-game (correlated),3,all-sports,1343983,0
2026-02-03,same-game (correlated),4,all-sports,1457300,0
2026-02-03,same-game (correlated),5-7,all-sports,3068545,0
2026-02-03,same-game (correlated),8+,all-sports,8546890,0
2026-02-03,unclassified (pending legs),unknown,unknown,268287,1
2026-02-04,multi-game (independent),2,all-sports,2894840,0
2026-02-04,multi-game (independent),3,all-sports,3129751,0
2026-02-04,multi-game (independent),4,all-sports,2416600,0
2026-02-04,multi-game (independent),5-7,all-sports,7607745,0
2026-02-04,multi-game (independent),8+,all-sports,7038889,0
2026-02-04,same-game (correlated),2,all-sports,2289781,0
2026-02-04,same-game (correlated),3,all-sports,1333587,0
2026-02-04,same-game (correlated),4,all-sports,1620662,0
2026-02-04,same-game (correlated),5-7,all-sports,3384860,0
2026-02-04,same-game (correlated),8+,all-sports,7787713,0
2026-02-04,unclassified (pending legs),unknown,unknown,336563,1
2026-02-05,multi-game (independent),2,all-sports,3112092,0
2026-02-05,multi-game (independent),3,all-sports,2798486,0
2026-02-05,multi-game (independent),4,all-sports,2021696,0
2026-02-05,multi-game (independent),5-7,all-sports,4631754,0
2026-02-05,multi-game (independent),8+,all-sports,6100154,0
2026-02-05,same-game (correlated),2,all-sports,2984404,0
2026-02-05,same-game (correlated),3,all-sports,1862354,0
2026-02-05,same-game (correlated),4,all-sports,2479383,0
2026-02-05,same-game (correlated),5-7,all-sports,4784318,0
2026-02-05,same-game (correlated),8+,all-sports,10712122,0
2026-02-05,unclassified (pending legs),unknown,unknown,498505,1
2026-02-06,multi-game (independent),2,all-sports,2874324,0
2026-02-06,multi-game (independent),3,all-sports,1942384,0
2026-02-06,multi-game (independent),4,all-sports,1770217,0
2026-02-06,multi-game (independent),5-7,all-sports,4715668,0
2026-02-06,multi-game (independent),8+,all-sports,2038628,0
2026-02-06,same-game (correlated),2,all-sports,3829323,0
2026-02-06,same-game (correlated),3,all-sports,3006699,0
2026-02-06,same-game (correlated),4,all-sports,4900037,0
2026-02-06,same-game (correlated),5-7,all-sports,6457056,0
2026-02-06,same-game (correlated),8+,all-sports,11247362,0
2026-02-06,unclassified (pending legs),unknown,unknown,943948,1
2026-02-07,multi-game (independent),2,all-sports,5144973,0
2026-02-07,multi-game (independent),3,all-sports,4564686,0
2026-02-07,multi-game (independent),4,all-sports,3647532,0
2026-02-07,multi-game (independent),5-7,all-sports,7839106,0
2026-02-07,multi-game (independent),8+,all-sports,10410497,0
2026-02-07,same-game (correlated),2,all-sports,5821161,0
2026-02-07,same-game (correlated),3,all-sports,4278558,0
2026-02-07,same-game (correlated),4,all-sports,5024759,0
2026-02-07,same-game (correlated),5-7,all-sports,10841828,0
2026-02-07,same-game (correlated),8+,all-sports,16095397,0
2026-02-07,unclassified (pending legs),unknown,unknown,1648083,1
2026-02-08,multi-game (independent),2,all-sports,2476721,0
2026-02-08,multi-game (independent),3,all-sports,1624131,0
2026-02-08,multi-game (independent),4,all-sports,1438500,0
2026-02-08,multi-game (independent),5-7,all-sports,2002792,0
2026-02-08,multi-game (independent),8+,all-sports,2817879,0
2026-02-08,same-game (correlated),2,all-sports,22559100,0
2026-02-08,same-game (correlated),3,all-sports,18092850,0
2026-02-08,same-game (correlated),4,all-sports,18127171,0
2026-02-08,same-game (correlated),5-7,all-sports,61194936,0
2026-02-08,same-game (correlated),8+,all-sports,34324416,0
2026-02-08,unclassified (pending legs),unknown,unknown,11503115,1
2026-02-09,multi-game (independent),2,all-sports,3325192,0
2026-02-09,multi-game (independent),3,all-sports,3640968,0
2026-02-09,multi-game (independent),4,all-sports,3386993,0
2026-02-09,multi-game (independent),5-7,all-sports,6119937,0
2026-02-09,multi-game (independent),8+,all-sports,11693225,0
2026-02-09,same-game (correlated),2,all-sports,1746786,0
2026-02-09,same-game (correlated),3,all-sports,1293411,0
2026-02-09,same-game (correlated),4,all-sports,1318173,0
2026-02-09,same-game (correlated),5-7,all-sports,3804060,0
2026-02-09,same-game (correlated),8+,all-sports,10165695,0
2026-02-09,unclassified (pending legs),unknown,unknown,87030,1
2026-02-10,multi-game (independent),2,all-sports,4018067,0
2026-02-10,multi-game (independent),3,all-sports,3961920,0
2026-02-10,multi-game (independent),4,all-sports,5251849,0
2026-02-10,multi-game (independent),5-7,all-sports,4121446,0
2026-02-10,multi-game (independent),8+,all-sports,4908157,0
2026-02-10,same-game (correlated),2,all-sports,2031039,0
2026-02-10,same-game (correlated),3,all-sports,1226089,0
2026-02-10,same-game (correlated),4,all-sports,1495412,0
2026-02-10,same-game (correlated),5-7,all-sports,4060002,0
2026-02-10,same-game (correlated),8+,all-sports,8851904,0
2026-02-10,unclassified (pending legs),unknown,unknown,52341,1
2026-02-11,multi-game (independent),2,all-sports,4471182,0
2026-02-11,multi-game (independent),3,all-sports,3949393,0
2026-02-11,multi-game (independent),4,all-sports,4158763,0
2026-02-11,multi-game (independent),5-7,all-sports,7264507,0
2026-02-11,multi-game (independent),8+,all-sports,15315340,0
2026-02-11,same-game (correlated),2,all-sports,2192987,0
2026-02-11,same-game (correlated),3,all-sports,1149592,0
2026-02-11,same-game (correlated),4,all-sports,1393579,0
